0,1,2,3
0.051305,-0.0224105,0.0306724,
0.0572548,-0.0036929,0.0142627,
0.0613428,-0.261939,-0.00811888,
0.06591,-0.159886,-0.0206817,
0.0713865,-0.0236355,-0.0301546,
0.0760711,0.0429983,-0.0435712,
0.0804775,0.072114,-0.0531423,
0.0843025,0.0836421,-0.0608948,
0.0888651,0.0874486,-0.0371051,
0.0943747,0.0767415,-0.00194151,
0.0994523,0.0770315,0.0335946,
0.105472,0.0771131,0.0246839,
0.111412,0.0569263,0.0177421,
0.118179,0.014582,-0.0121626,
0.126102,0.043909,-0.031411,
0.134827,0.0622514,-0.0535658,
0.14352,-0.0532649,-0.0610618,
0.153533,-0.0232451,-0.0609758,
0.164359,0.0229864,-0.0651969,
0.174945,0.0471838,-0.0617696,
0.187763,0.066638,-0.0399555,-0.731111111111112
0.200939,0.0774666,-0.018497,0.134565972222222
0.213849,0.0480469,-0.0149088,-0.368715277777778
0.225388,-1.37031,-0.00792905,-0.420069444444445
0.237892,-3.60545,-0.0250864,0.0001909722222227
0.248149,-1.36819,-0.0414493,0.226597222222222
0.257104,-0.81587,-0.0658105,-0.103298611111111
0.265619,-0.809062,-0.0718098,-0.990798611111112
0.272208,-0.489513,-0.0769775,0.285659722222223
0.278812,-0.641199,-0.0815468,0.779045138888889
0.285213,-0.877224,-0.0760609,-1.29970486111111
0.290378,-0.608188,-0.0382492,-0.367517361111111
0.297237,-0.423524,-0.0250551,-0.399861111111111
0.302124,-0.124336,-0.00415773,-1.27100694444444
0.306501,0.00990271,0.0114871,-1.06220486111111
0.311061,0.0525421,-0.0055988,-0.426527777777778
0.315953,-0.344665,-0.0322265,0.27248263888889
0.3208,-0.35,-0.0551334,0.646493055555556
0.327524,-0.206616,-0.0582265,-0.524652777777778
0.336425,-0.0211906,-0.0652452,-0.316371527777778
0.345509,0.0485978,-0.0700309,0.936961805555555
0.356227,0.0718372,-0.0822692,0.145555555555555
0.368513,-0.533491,-0.081052,0.146805555555555
0.379869,-1.70365,-0.0488517,0.701440972222222
0.393116,-0.655162,-0.00693334,-0.411527777777778
0.406412,-0.200895,-0.0395185,0.698524305555556
0.421705,-0.0837799,-0.00697252,0.530503472222222
0.435055,-0.134668,-0.0262513,-0.510642361111111
0.448971,-0.126084,-0.0145493,-0.321475694444445
0.462758,0.00494716,-0.0319234,-0.735694444444445
0.476666,0.0210546,-0.0512644,-1.04871527777778
0.489446,0.0549479,-0.0636479,-0.694392361111111
0.501816,-0.395139,-0.0708097,0.425503472222223
0.515625,-0.489151,-0.0679903,-0.146111111111111
0.528264,-0.146136,-0.0582561,0.468368055555556
0.540389,-0.003287,-0.0123102,0.523888888888889
0.553295,0.021564,0.0204343,-0.421423611111111
0.56711,0.0363441,0.040524,-0.838819444444444
0.580473,0.0429854,0.0362706,-0.320173611111111
0.593571,0.0409431,0.000571708,0.863524305555556
0.606636,-0.158322,-0.0232298,0.227743055555556
0.620942,-0.0980913,-0.0390244,-0.258454861111111
0.635716,0.0205751,-0.057098,-0.341423611111111
0.649049,0.0619178,-0.0511571,-0.363454861111111
0.663913,0.00178495,-0.0471533,0.109357638888889
0.680342,0.0180073,-0.0171284,-0.413454861111111
0.695664,0.0304028,-0.00272552,0.939253472222223
0.711065,0.0543766,0.0266538,-0.170850694444444
0.727568,-0.0525979,0.00614624,0.000607638888889
0.744016,-0.162669,0.000254582,-0.0721527777777779
0.758532,-0.0641596,0.000256878,0.386701388888888
0.774692,-0.0285104,-0.0179905,0.984201388888889
0.790482,-0.124306,-0.0344059,-0.0552256944444444
0.805231,-0.0746886,-0.0534787,-0.311736111111111
0.819281,-0.0057507,-0.0355651,-0.748402777777777
0.83307,-0.0146082,-0.00343288,-0.305642361111111
0.846493,0.0105129,0.0555783,0.090607638888889
0.856796,0.0224622,0.0415731,0.0415451388888893
0.865908,-0.032677,0.0317308,-0.198559027777778
0.873828,-0.0112221,0.0307267,-0.439965277777778
0.88102,0.0105044,0.0230199,0.539305555555556
0.887486,0.0435125,0.0120462,0.988576388888889
0.891662,-0.0152146,-0.00315444,0.320659722222223
0.895506,-0.0124367,-0.0274096,-0.817413194444445
0.899753,0.0353806,-0.0221928,-0.142465277777778
0.906437,0.0384792,0.0187391,-0.492048611111111
0.913093,0.04735,0.0289465,-0.397986111111111
0.922942,0.0331458,0.0630422,-0.121892361111112
0.93278,0.051691,0.0862694,-0.0516319444444442
0.945407,0.00732618,0.0708083,-0.231059027777778
0.959715,0.0205057,0.0363294,-1.02725694444444
0.975506,0.0410707,-0.00050662,-0.477986111111111
0.993163,0.00208404,0.000941299,0.174774305555556
1.01303,0.00632932,-0.0200737,0.121753472222222
1.03395,0.00575258,-0.0151782,-0.172100694444445
1.05743,0.0486291,0.00193419,-0.992621527777778
1.08192,0.0655603,0.0790783,-1.10918402777778
1.10712,0.080244,0.132273,-0.0921006944444444
1.13271,0.0857856,0.126524,0.715399305555556
1.16073,0.0877972,0.0879631,0.0515972222222226
1.19156,-0.0343303,0.0761136,-0.108559027777777
1.22277,-0.199114,0.0241039,-0.0904861111111111
1.2529,-0.271659,-0.00221884,-0.329184027777778
1.28201,-1.21606,-0.00971571,-0.0585069444444445
