"","V1","V2","V3","V4","V5"
"1",-1.56791322985105,-0.76581088872958,0.277730808274434,1.66652029819723,3.18677763562433
"2",-1.52640693775963,-0.686359427121479,0.390312822846805,1.74787963664822,3.21198889009229
"3",-1.46339083407414,-0.566238338076972,0.541633021922256,1.85036917615686,3.2438148729571
"4",-1.36794379633614,-0.391253448962372,0.731404917926672,1.96913212362806,3.28095133975461
"5",-1.32427483745565,-0.315627553700429,0.804716872166994,2.01240637916277,3.29458088792474
"6",-1.26595789511964,-0.219840982090534,0.891455183180654,2.06186528479059,3.31020365265667
"7",-1.13377998752558,-0.0258047779303793,1.04972613387902,2.14735867772302,3.33718643493319
"8",-1.02427586528519,0.111764026672107,1.15020037582178,2.19828874597573,3.35298253067724
"9",-0.939769816022148,0.205138239910741,1.21371391688263,2.22889375727445,3.36214376151983
"10",-0.810187106112288,0.330017383706475,1.29335151998428,2.26499778186044,3.37217308753535
"11",-0.747520534897154,0.383675421850855,1.32578287065808,2.2787320780494,3.37554327148023
"12",-0.656581922966566,0.455041146922315,1.36723104924687,2.29513273994741,3.37890577353894
"13",-0.595545684641815,0.499191050125035,1.39185755095988,2.3040556185705,3.38019713636189
"14",-0.455599589651482,0.590932453587162,1.44017209453473,2.3188025707395,3.38019810152098
"15",-0.367935060789129,0.642784406435364,1.46537534059311,2.32411708410097,3.37790051817087
"16",-0.294427785070616,0.683463266370519,1.48373183580422,2.32612723562897,3.37436803268504
"17",-0.263335222036677,0.699977180340944,1.49075180298783,2.32625065212902,3.37235923403644
"18",-0.218263055445783,0.723238321215138,1.50010427153122,2.32558620534032,3.3688268375916
"19",-0.172755577734767,0.745935745913906,1.508543786616,2.32380424813799,3.36441115521629
"20",-0.125063696286328,0.768893496692342,1.51621255060676,2.32057505489433,3.35870153709852
"21",-0.0714549895836809,0.793690504902546,1.52326272917548,2.31499787859542,3.35066624330865
"22",-0.71400050673427,0.22122046064785,1.0727173790192,2.01832487433745,3.17651567836834
"23",-0.718753994735771,0.221982845863488,1.08014204244977,2.03126799990652,3.18993793050654
"24",-0.727295099021192,0.223421285257458,1.09357587997214,2.05436637555462,3.2136721482583
"25",-0.736430713895311,0.225051098021582,1.10806062310129,2.07883747719736,3.23851351996409
